statefip,stateName,stateabbrev,area,MSAname,countyfip,township,county_town_name,county_town_BLSname
01,Alabama,AL,33860,"Montgomery, AL",001,000,Autauga County,Autauga County
01,Alabama,AL,19300,"Daphne-Fairhope-Foley, AL",003,000,Baldwin County,Baldwin County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,005,000,Barbour County,Barbour County
01,Alabama,AL,13820,"Birmingham-Hoover, AL",007,000,Bibb County,Bibb County
01,Alabama,AL,13820,"Birmingham-Hoover, AL",009,000,Blount County,Blount County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,011,000,Bullock County,Bullock County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,013,000,Butler County,Butler County
01,Alabama,AL,11500,"Anniston-Oxford-Jacksonville, AL",015,000,Calhoun County,Calhoun County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,017,000,Chambers County,Chambers County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,019,000,Cherokee County,Cherokee County
01,Alabama,AL,13820,"Birmingham-Hoover, AL",021,000,Chilton County,Chilton County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,023,000,Choctaw County,Choctaw County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,025,000,Clarke County,Clarke County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,027,000,Clay County,Clay County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,029,000,Cleburne County,Cleburne County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,031,000,Coffee County,Coffee County
01,Alabama,AL,22520,"Florence-Muscle Shoals, AL",033,000,Colbert County,Colbert County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,035,000,Conecuh County,Conecuh County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,037,000,Coosa County,Coosa County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,039,000,Covington County,Covington County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,041,000,Crenshaw County,Crenshaw County
01,Alabama,AL,0100001,Northwest Alabama nonmetropolitan area,043,000,Cullman County,Cullman County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,045,000,Dale County,Dale County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,047,000,Dallas County,Dallas County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,049,000,DeKalb County,DeKalb County
01,Alabama,AL,33860,"Montgomery, AL",051,000,Elmore County,Elmore County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,053,000,Escambia County,Escambia County
01,Alabama,AL,23460,"Gadsden, AL",055,000,Etowah County,Etowah County
01,Alabama,AL,0100001,Northwest Alabama nonmetropolitan area,057,000,Fayette County,Fayette County
01,Alabama,AL,0100001,Northwest Alabama nonmetropolitan area,059,000,Franklin County,Franklin County
01,Alabama,AL,20020,"Dothan, AL",061,000,Geneva County,Geneva County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,063,000,Greene County,Greene County
01,Alabama,AL,46220,"Tuscaloosa, AL",065,000,Hale County,Hale County
01,Alabama,AL,20020,"Dothan, AL",067,000,Henry County,Henry County
01,Alabama,AL,20020,"Dothan, AL",069,000,Houston County,Houston County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,071,000,Jackson County,Jackson County
01,Alabama,AL,13820,"Birmingham-Hoover, AL",073,000,Jefferson County,Jefferson County
01,Alabama,AL,0100001,Northwest Alabama nonmetropolitan area,075,000,Lamar County,Lamar County
01,Alabama,AL,22520,"Florence-Muscle Shoals, AL",077,000,Lauderdale County,Lauderdale County
01,Alabama,AL,19460,"Decatur, AL",079,000,Lawrence County,Lawrence County
01,Alabama,AL,12220,"Auburn-Opelika, AL",081,000,Lee County,Lee County
01,Alabama,AL,26620,"Huntsville, AL",083,000,Limestone County,Limestone County
01,Alabama,AL,33860,"Montgomery, AL",085,000,Lowndes County,Lowndes County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,087,000,Macon County,Macon County
01,Alabama,AL,26620,"Huntsville, AL",089,000,Madison County,Madison County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,091,000,Marengo County,Marengo County
01,Alabama,AL,0100001,Northwest Alabama nonmetropolitan area,093,000,Marion County,Marion County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,095,000,Marshall County,Marshall County
01,Alabama,AL,33660,"Mobile, AL",097,000,Mobile County,Mobile County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,099,000,Monroe County,Monroe County
01,Alabama,AL,33860,"Montgomery, AL",101,000,Montgomery County,Montgomery County
01,Alabama,AL,19460,"Decatur, AL",103,000,Morgan County,Morgan County
01,Alabama,AL,0100003,Southwest Alabama nonmetropolitan area,105,000,Perry County,Perry County
01,Alabama,AL,46220,"Tuscaloosa, AL",107,000,Pickens County,Pickens County
01,Alabama,AL,0100004,Southeast Alabama nonmetropolitan area,109,000,Pike County,Pike County
01,Alabama,AL,0100002,Northeast Alabama nonmetropolitan area,111,000,Randolph County,Randolph County
01,Alabama,AL,17980,"Columbus, GA-AL",113,000,Russell County,Russell County
