"statefip","stateabbrev","area","MSAname","countyfip","county_town_name"
"01","AL","33860","Montgomery, AL","001","Autauga County"
"01","AL","19300","Daphne-Fairhope-Foley, AL","003","Baldwin County"
"01","AL","0100004","Southeast Alabama nonmetropolitan area","005","Barbour County"
"01","AL","13820","Birmingham, AL","007","Bibb County"
"01","AL","13820","Birmingham, AL","009","Blount County"
"01","AL","0100004","Southeast Alabama nonmetropolitan area","011","Bullock County"
"01","AL","0100004","Southeast Alabama nonmetropolitan area","013","Butler County"
"01","AL","11500","Anniston-Oxford, AL","015","Calhoun County"
"01","AL","0100002","Northeast Alabama nonmetropolitan area","017","Chambers County"
"01","AL","0100002","Northeast Alabama nonmetropolitan area","019","Cherokee County"
"01","AL","13820","Birmingham, AL","021","Chilton County"
"01","AL","0100003","Southwest Alabama nonmetropolitan area","023","Choctaw County"
"01","AL","0100003","Southwest Alabama nonmetropolitan area","025","Clarke County"
"01","AL","0100002","Northeast Alabama nonmetropolitan area","027","Clay County"
"01","AL","0100002","Northeast Alabama nonmetropolitan area","029","Cleburne County"
"01","AL","0100004","Southeast Alabama nonmetropolitan area","031","Coffee County"
"01","AL","22520","Florence-Muscle Shoals, AL","033","Colbert County"
"01","AL","0100003","Southwest Alabama nonmetropolitan area","035","Conecuh County"
"01","AL","0100002","Northeast Alabama nonmetropolitan area","037","Coosa County"
"01","AL","0100004","Southeast Alabama nonmetropolitan area","039","Covington County"
"01","AL","0100004","Southeast Alabama nonmetropolitan area","041","Crenshaw County"
"01","AL","0100001","Northwest Alabama nonmetropolitan area","043","Cullman County"
"01","AL","0100004","Southeast Alabama nonmetropolitan area","045","Dale County"
"01","AL","0100003","Southwest Alabama nonmetropolitan area","047","Dallas County"
"01","AL","0100002","Northeast Alabama nonmetropolitan area","049","DeKalb County"
"01","AL","33860","Montgomery, AL","051","Elmore County"
"01","AL","0100003","Southwest Alabama nonmetropolitan area","053","Escambia County"
"01","AL","23460","Gadsden, AL","055","Etowah County"
"01","AL","0100001","Northwest Alabama nonmetropolitan area","057","Fayette County"
"01","AL","0100001","Northwest Alabama nonmetropolitan area","059","Franklin County"
"01","AL","20020","Dothan, AL","061","Geneva County"
