"state","year","state_min_wage","state_min_wage_lastyr","state_min_wage_hike","state_min_wage_period","state_min_wage_last","state_min_wage_hike_last"
"AK",2024,11.73,NA,NA,0,NA,NA
"AK",2025,11.91,11.73,0.18,1,11.73,0.18
"AK",2026,11.91,11.91,0,1,11.73,0.18
"AK",2027,11.91,11.91,0,1,11.73,0.18
"AK",2028,11.91,11.91,0,1,11.73,0.18
"AK",2029,11.91,11.91,0,1,11.73,0.18
"AK",2030,11.91,11.91,0,1,11.73,0.18
"AK",2031,11.91,11.91,0,1,11.73,0.18
"AK",2032,11.91,11.91,0,1,11.73,0.18
"AK",2033,11.91,11.91,0,1,11.73,0.18
"AK",2034,11.91,11.91,0,1,11.73,0.18
"AK",2035,11.91,11.91,0,1,11.73,0.18
"AK",2036,11.91,11.91,0,1,11.73,0.18
"AK",2037,11.91,11.91,0,1,11.73,0.18
"AK",2038,11.91,11.91,0,1,11.73,0.18
"AK",2039,11.91,11.91,0,1,11.73,0.18
"AK",2040,11.91,11.91,0,1,11.73,0.18
"AK",2041,11.91,11.91,0,1,11.73,0.18
"AK",2042,11.91,11.91,0,1,11.73,0.18
"AK",2043,11.91,11.91,0,1,11.73,0.18
"AK",2044,11.91,11.91,0,1,11.73,0.18
"AK",2045,11.91,11.91,0,1,11.73,0.18
"AK",2046,11.91,11.91,0,1,11.73,0.18
"AK",2047,11.91,11.91,0,1,11.73,0.18
"AK",2048,11.91,11.91,0,1,11.73,0.18
"AK",2049,11.91,11.91,0,1,11.73,0.18
"AK",2050,11.91,11.91,0,1,11.73,0.18
"AK",2051,11.91,11.91,0,1,11.73,0.18
"AK",2052,11.91,11.91,0,1,11.73,0.18
"AK",2053,11.91,11.91,0,1,11.73,0.18
"AK",2054,11.91,11.91,0,1,11.73,0.18
"AK",2055,11.91,11.91,0,1,11.73,0.18
"AK",2056,11.91,11.91,0,1,11.73,0.18
"AK",2057,11.91,11.91,0,1,11.73,0.18
"AK",2058,11.91,11.91,0,1,11.73,0.18
"AK",2059,11.91,11.91,0,1,11.73,0.18
"AK",2060,11.91,11.91,0,1,11.73,0.18
"AK",2061,11.91,11.91,0,1,11.73,0.18
"AK",2062,11.91,11.91,0,1,11.73,0.18
"AK",2063,11.91,11.91,0,1,11.73,0.18
"AK",2064,11.91,11.91,0,1,11.73,0.18
"AK",2065,11.91,11.91,0,1,11.73,0.18
"AK",2066,11.91,11.91,0,1,11.73,0.18
"AK",2067,11.91,11.91,0,1,11.73,0.18
"AK",2068,11.91,11.91,0,1,11.73,0.18
"AK",2069,11.91,11.91,0,1,11.73,0.18
"AK",2070,11.91,11.91,0,1,11.73,0.18
"AK",2071,11.91,11.91,0,1,11.73,0.18
"AK",2072,11.91,11.91,0,1,11.73,0.18
"AK",2073,11.91,11.91,0,1,11.73,0.18
"AK",2074,11.91,11.91,0,1,11.73,0.18
